Date,pm25_daily_mean,pm25_daily_mean_interpolated,was_interpolated,high_pm25_day,year,month,season,temperature_2m_mean,relative_humidity_2m_mean,dew_point_2m_mean,precipitation_sum,wind_speed_10m_mean,wind_direction_10m_dominant,pressure_msl_mean,shortwave_radiation_sum,cloud_cover_mean,wind_gusts_10m_max,et0_fao_evapotranspiration,wind_direction_sin,wind_direction_cos
2021-01-27,17.551041666666666,17.551041666666666,False,1,2021,1,Winter,7.1,96.0,6.6,1.0,8.9,243.0,1009.7,1.27,100.0,23.8,0.21,-0.8910065241883678,-0.4539904997395469
2021-01-28,6.010291666666667,6.010291666666667,False,0,2021,1,Winter,7.8,92.0,6.5,21.8,12.2,132.0,999.3,0.9,100.0,51.5,0.25,0.7431448254773942,-0.6691306063588582
2021-01-29,7.191458333333333,7.191458333333333,False,0,2021,1,Winter,7.5,92.0,6.2,2.2,15.0,272.0,996.1,1.97,86.0,45.0,0.31,-0.9993908270190958,0.03489949670250128
2021-01-30,4.36425,4.36425,False,0,2021,1,Winter,3.5,74.0,-0.7,0.5,25.8,76.0,1000.9,1.62,86.0,64.4,0.96,0.9702957262759965,0.24192189559966767
2021-01-31,4.883083333333333,4.883083333333333,False,0,2021,1,Winter,1.1,76.0,-2.8,0.0,14.1,79.0,1000.7,2.67,90.0,35.3,0.61,0.981627183447664,0.19080899537654492
2021-02-01,8.257739130434782,8.257739130434782,False,0,2021,2,Winter,2.0,79.0,-1.4,0.0,8.2,77.0,997.5,5.51,52.0,25.9,0.61,0.9743700647852352,0.22495105434386492
2021-02-02,6.447541666666667,6.447541666666667,False,0,2021,2,Winter,4.0,90.0,2.5,24.2,18.7,97.0,991.8,1.43,98.0,55.8,0.35,0.9925461516413221,-0.12186934340514737
2021-02-03,5.639833333333333,5.639833333333333,False,0,2021,2,Winter,6.6,93.0,5.6,6.0,7.6,185.0,993.5,3.22,81.0,29.9,0.39,-0.08715574274765794,-0.9961946980917455
2021-02-04,7.199333333333333,7.199333333333333,False,0,2021,2,Winter,6.1,88.0,4.3,4.3,10.9,128.0,1006.1,5.25,87.0,33.5,0.58,0.788010753606722,-0.6156614753256583
2021-02-05,8.582916666666668,8.582916666666668,False,0,2021,2,Winter,6.3,91.0,4.8,2.1,9.0,126.0,1006.4,4.03,78.0,28.4,0.47,0.8090169943749475,-0.587785252292473
2021-02-06,2.9698333333333333,2.9698333333333333,False,0,2021,2,Winter,4.3,90.0,2.9,10.9,15.0,64.0,1008.6,2.22,95.0,46.8,0.35,0.898794046299167,0.43837114678907746
2021-02-07,7.438125,7.438125,False,0,2021,2,Winter,1.9,71.0,-3.0,1.2,23.3,55.0,1011.0,2.44,93.0,49.0,0.96,0.8191520442889918,0.5735764363510462
2021-02-08,5.84025,5.84025,False,0,2021,2,Winter,0.6,69.0,-4.4,0.0,19.4,49.0,1009.4,4.43,83.0,53.3,0.95,0.754709580222772,0.6560590289905073
2021-02-09,5.684958333333333,5.684958333333333,False,0,2021,2,Winter,-0.7,76.0,-4.6,0.0,14.2,58.0,1010.5,6.34,63.0,39.6,0.74,0.848048096156426,0.5299192642332049
2021-02-10,6.907541666666667,6.907541666666667,False,0,2021,2,Winter,-1.2,72.0,-5.7,0.1,10.9,42.0,1018.7,7.16,19.0,32.4,0.78,0.6691306063588582,0.7431448254773942
2021-02-11,8.904375,8.904375,False,0,2021,2,Winter,-0.9,70.0,-6.0,0.0,14.9,101.0,1027.5,7.25,55.0,46.1,0.97,0.981627183447664,-0.1908089953765448
2021-02-12,12.014625,12.014625,False,0,2021,2,Winter,-0.7,66.0,-6.4,0.0,19.8,108.0,1031.0,6.78,66.0,46.8,1.09,0.9510565162951536,-0.30901699437494734
2021-02-13,10.202458333333334,10.202458333333334,False,0,2021,2,Winter,-1.3,56.0,-8.9,0.1,21.6,129.0,1030.4,3.92,94.0,47.9,1.26,0.777145961456971,-0.6293203910498373
2021-02-14,8.044458333333333,8.044458333333333,False,0,2021,2,Winter,3.8,71.0,-1.1,1.9,27.4,160.0,1018.9,1.67,100.0,65.9,1.11,0.3420201433256689,-0.9396926207859083
2021-02-15,8.318583333333333,8.318583333333333,False,0,2021,2,Winter,8.6,88.0,6.8,0.0,17.0,181.0,1014.0,4.66,80.0,49.0,0.7,-0.017452406437283637,-0.9998476951563913
2021-02-16,4.858583333333333,4.858583333333333,False,0,2021,2,Winter,9.2,85.0,6.7,4.0,19.3,196.0,1004.9,4.98,85.0,58.0,0.91,-0.275637355816999,-0.9612616959383189
2021-02-17,5.805695652173913,5.805695652173913,False,0,2021,2,Winter,8.4,82.0,5.4,3.6,20.7,185.0,1003.7,4.74,85.0,53.3,1.01,-0.08715574274765794,-0.9961946980917455
2021-02-18,4.903625,4.903625,False,0,2021,2,Winter,8.0,76.0,4.0,2.6,24.9,196.0,997.6,5.25,67.0,64.8,1.33,-0.275637355816999,-0.9612616959383189
2021-02-19,4.941083333333333,4.941083333333333,False,0,2021,2,Winter,8.5,78.0,4.8,0.6,28.3,176.0,1000.6,2.07,92.0,64.4,1.2,0.06975647374412552,-0.9975640502598242
2021-02-20,8.970208333333334,8.970208333333334,False,0,2021,2,Winter,11.3,82.0,8.4,4.0,29.5,174.0,996.6,2.07,97.0,68.8,1.12,0.10452846326765373,-0.9945218953682733
2021-02-21,6.077958333333334,6.077958333333334,False,0,2021,2,Winter,9.3,85.0,6.9,1.3,13.0,183.0,1005.6,4.89,83.0,50.0,0.85,-0.052335956242943564,-0.9986295347545738
2021-02-22,6.428875000000001,6.428875000000001,False,0,2021,2,Winter,8.0,85.0,5.5,7.5,6.4,213.0,1013.4,6.51,67.0,26.6,0.87,-0.5446390350150271,-0.838670567945424
2021-02-23,5.102291666666667,5.102291666666667,False,0,2021,2,Winter,9.9,72.0,5.1,2.6,29.5,176.0,1015.4,3.74,100.0,77.8,1.71,0.06975647374412552,-0.9975640502598242
2021-02-24,,7.300305555555555,True,0,2021,2,Winter,12.4,84.0,9.9,6.8,25.1,194.0,1014.8,1.65,100.0,62.6,0.97,-0.2419218955996675,-0.9702957262759965
2021-02-25,,9.498319444444444,True,0,2021,2,Winter,7.0,83.0,4.2,0.2,12.6,252.0,1024.9,8.83,44.0,44.3,1.06,-0.9510565162951535,-0.30901699437494756
2021-02-26,11.696333333333333,11.696333333333333,False,0,2021,2,Winter,5.0,84.0,2.4,0.0,6.3,221.0,1036.3,7.41,35.0,22.7,0.9,-0.656059028990507,-0.7547095802227721
2021-02-27,17.237750000000002,17.237750000000002,False,1,2021,2,Winter,4.0,89.0,2.2,0.0,5.2,149.0,1041.3,6.7,49.0,15.8,0.8,0.5150380749100544,-0.8571673007021122
2021-02-28,23.589083333333335,23.589083333333335,False,1,2021,2,Winter,3.7,84.0,1.1,0.0,4.8,68.0,1038.5,10.93,9.0,13.7,1.23,0.9271838545667874,0.37460659341591196
2021-03-01,24.65608333333333,24.65608333333333,False,1,2021,3,Spring,3.8,84.0,1.2,0.0,9.0,72.0,1033.5,10.62,13.0,24.1,1.15,0.9510565162951535,0.30901699437494745
2021-03-02,23.216416666666664,23.216416666666664,False,1,2021,3,Spring,3.3,84.0,0.8,0.0,6.8,99.0,1031.0,10.89,20.0,20.2,1.15,0.9876883405951378,-0.1564344650402308
